ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
GO_440,-51.48029,-16.20009,GO,Cerrado,Diorama,GO-03,2018/06/08 00:00:00,,medido_completo,ua|uso
GO_441,-51.30053,-16.2002,GO,Cerrado,Diorama,GO-03,2018/03/22 00:00:00,,medido_completo,ua|uso
GO_442,-51.12032,-16.2,GO,Cerrado,Jaupaci,GO-03,2018/03/29 00:00:00,,medido_completo,ua|uso
GO_443,-50.94016,-16.2,GO,Cerrado,Jaupaci,GO-03,2018/03/19 00:00:00,,medido_completo,ua|uso
GO_444,-50.76009,-16.20011,GO,Cerrado,Fazenda Nova,GO-03,2018/03/23 00:00:00,,medido_completo,ua|uso
GO_445,-50.58037,-16.20011,GO,Cerrado,Novo Brasil,GO-03,2018/03/21 00:00:00,,medido_completo,ua|uso
GO_446,-50.39999,-16.19999,GO,Cerrado,Buriti de Goiás,GO-03,2018/04/03 00:00:00,,medido_completo,ua|uso
GO_447,-50.2201,-16.2,GO,Cerrado,Mossâmedes,GO-02,2018/04/12 00:00:00,,medido_completo,ua|uso
GO_448,-50.04003,-16.20002,GO,Cerrado,Mossâmedes,GO-02,2018/04/04 00:00:00,,medido_completo,ua|uso
GO_449,-49.86045,-16.20004,GO,Cerrado,Itaberaí,GO-02,2018/03/08 00:00:00,,medido_completo,ua|uso
GO_45,-46.62042,-13.31997,GO,Cerrado,Divinópolis de Goiás,GO-01,2018/10/05 00:00:00,,medido_completo,ua|uso
GO_450,-49.6801,-16.20005,GO,Cerrado,Itauçu,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_451,-49.50009,-16.19991,GO,Cerrado,Inhumas,GO-02,2018/04/17 00:00:00,,medido_completo,ua|uso
GO_452,-49.32047,-16.19998,GO,Cerrado,Petrolina de Goiás,GO-02,2018/03/12 00:00:00,,medido_completo,ua|uso
GO_453,-49.14004,-16.2,GO,Cerrado,Anápolis,GO-02,2018/03/10 00:00:00,,medido_completo,ua|uso
GO_454,-48.96001,-16.20001,GO,Cerrado,Anápolis,GO-02,2018/03/16 00:00:00,,medido_completo,ua|uso
GO_455,-48.7803,-16.20009,GO,Cerrado,Abadiânia,GO-02,2018/03/08 00:00:00,,medido_completo,ua|uso
